
港澳台,#genre#

民視,rtmp://219.80.97.77/sat/tv051
民視,rtmp://119.81.124.89/sat/tv051
民視,rtmp://9sv2.mine.nu/sat/tv051

台視,rtmp://219.80.97.77/sat/tv071
台視,rtmp://119.81.124.89/sat/tv071
台視HD,https://epg.pw/stream/d17487ab06a0b88601cf6a6a717f0458d7ff8798dc4e42398e1c9874e2e7441d.m3u8
台視HD,https://epg.pw/stream/803c791208b40e0816487d6afdfe8d3a019712b6655f68c31725d20958253b99.m3u8

中視,rtmp://219.80.97.77/sat/tv091
中視,rtmp://119.81.124.89/sat/tv091
中視,https://epg.pw/stream/5c00445bca9aaeefcb38ce5a1227e06ac3d420a57a804161ae6f95eaf4e825e9.m3u8

華視,rtmp://219.80.97.77/sat/tv111
華視,rtmp://119.81.124.89/sat/tv111
华视,https://epg.pw/stream/eccf32739b25830eae943450b2e0cd8790e575a94f2edee661670cbceaa71f49.m3u8
华视,https://epg.pw/stream/92e6006307ddf8606bd2c5d733a1ff95e335eba670142bbc6d8853d81bfbaaea.m3u8
